A	a
Erdferkel	aardvark
verblüfft	stupefied
Abakus	abacus
aufgeben	surrender
verlassen	rely
Aufgabe	task
Zement	cement
abkürzen	abbreviate
abgekürzt	abbreviated
Abkürzung	shortcut
abdanken	abdicate
Abdomen	abdomen
Bauch	tummy
entführen	kidnap
Entführter	abductee
Entführung	kidnapping
Entführer	kidnapper
verabscheuen	detest
Abscheu	revulsion
abscheulich	loathsomely
bleiben	stay
bleibend	abiding
beständig	resistant
Fähigkeit	skill
in Flammen	aflame
fähig	capable
gekonnt	ably
abnormal	abnormal
Anomalie	abnormality
ungewöhnlich	unusual
an Bord	aboard
Aufenthalt	abode
abschaffen	disestablish
abschaffungsfähig	abolishable
Abschaffung	abolition
Abolitionismus	abolitionism
Abolitionist	abolitionist
Abscheulichkeit	repugnancy
Gräuel	abomination
Ureinwohner	aboriginal
abgebrochen	aborted
Abtreibung	abortion
Abtreiber	abortionist
fehlgeschlagen	failingly
im Überfluss	abound
über	via
ehrlich	honest
überirdisch	unearthly
oben erwähnt	abovementioned
Abrakadabra	abracadabra
Abrieb	abrasion
Schleifmittel	abrasive
abrasiv	abrasively
Abrasivität	abrasiveness
auf Augenhöhe	abreast
kürzen	truncate
gekürzt	curtailed
im Ausland	abroad
abrupt	abrupt
plötzlich	suddenly
Plötzlichkeit	suddenness
Abszess	abscessed
Abwesenheit	absentness
abwesend	absentee
Fehlzeiten	absenteeism
geistesabwesend	absentmindedly
zerstreut	dispersed
Zerstreutheit	absentmindedness
Absinth	absinthe
absolut	utter
Absolutheit	absoluteness
Absolution	absolution
Absolutismus	absolutism
Absolutist	absolutist
absolvable	absolvable
entbinden	absolve
absorbieren	absorb
Absorbierbarkeit	absorbability
resorbierbar	absorbable
absorbiert	absorbed
Saugfähigkeit	absorbency
Absorber	absorber
absorbierend	absorbingly
Absorption	absorption
Absorptionsfähigkeit	absorptiveness
Abstinenzler	teetotaler
Enthaltung	abstention
Abstinenz	abstinence
abstinent	abstinently
abstrakt	abstractly
abstrahiert	abstractedly
Abstraktheit	abstractedness
Abstraktion	abstraction
Abstraktionismus	abstractionism
Abstraktionist	abstractionist
Absurdität	preposterousness
absurd	preposterous
Fülle	profuseness
reichlich	profusely
Missbrauch	misusage
Täter	perpetuator
